Date,Day,Sleep Hour,Exercise Hour,Study Hour,StudyDS Hour,Work Hour,End of the day Feeling (0 to 10),,,
14-Jan,Friday,6,3,2,1,6,8,,,
15-Jan,Saturday,7,2,3,2,4,4,,,
16-Jan,Sunday,5,1,3,1,0,6,,,
17-Jan,Monday,7,3,3,2,0,5,,,
18-Jan,Tuesday,8,3,2,1,0,6,,,
19-Jan,Wednesday,6,2,2,2,7,3,,,
20-Jan,Thursday,6,1,2,1,7,4,,,
21-Jan,Friday,5,2,2,1,6,3,,,
22-Jan,Saturday,4,1,3,1,0,2,,,
23-Jan,Sunday,7,3,4,2,6,4,,,
24-Jan,Monday,7,2,1,0,0,6,,,
25-Jan,Tuesday,6,4,1,0,6,7,,,
26-Jan,Wednesday,6,2,2,1,7,5,,,
27-Jan,Thursday,5,1,2,1,7,7,,,
28-Jan,Friday,7,3,3,2,0,3,,,
29-Jan,Saturday,8,3,2,1,0,8,,,
30-Jan,Sunday,8,1,3,1,6,5,,,
31-Jan,Monday,5,2,2,1,0,8,,,
1-Feb,Tuesday,4,2,4,1,7,7,,,
2-Feb,Wednesday,5,2,3,1,6,6,,,
3-Feb,Thursday,7,2,2,1,6,5,,,
4-Feb,Friday,6,1,2,1,0,4,,,
5-Feb,Saturday,9,1,1,1,0,7,,,
6-Feb,Sunday,7,3,3,1,6,6,,,
7-Feb,Monday,5,3,4,2,0,6,,,
8-Feb,Tuesday,6,2,1,1,7,4,,,
9-Feb,Wednesday,5,2,3,1,6,5,,,
10-Feb,Thursday,5,3,3,2,6,5,,,
11-Feb,Friday,6,1,2,1,7,3,,,
12-Feb,Saturday,7,1,2,1,0,2,,,
13-Feb,Sunday,8,2,1,0,6,3,,,
14-Feb,Monday,7,3,1,0,0,3,,,
15-Feb,Tuesday,7,2,1,1,6,5,,,
16-Feb,Wednesday,7,1,2,1,7,5,,,
17-Feb,Thursday,6,2,1,1,0,2,,,
18-Feb,Friday,5,1,3,2,0,3,,,
19-Feb,Saturday,6,1,1,1,0,1,,,
20-Feb,Sunday,8,1,3,1,6,3,,,
21-Feb,Monday,6,1,1,1,0,6,,,
22-Feb,Tuesday,6,2,2,1,7,7,,,
23-Feb,Wednesday,5,2,2,2,0,7,,,
24-Feb,Thursday,7,2,2,2,7,6,,,
25-Feb,Friday,7,1,1,1,7,3,,,
26-Feb,Saturday,6,1,1,1,0,1,,,
27-Feb,Sunday,6,2,2,2,6,1,,,
28-Feb,Monday,7,1,1,1,7,1,,,
1-Mar,Tuesday,6,1,1,1,7,0,,,
2-Mar,Wednesday,7,2,1,2,7,0,,,
3-Mar,Thursday,8,1,2,1,0,0,,,
4-Mar,Friday,5,1,4,1,6,0,,,
5-Mar,Saturday,7,1,4,1,0,0,,,
6-Mar,Sunday,6,2,4,2,6,0,,,
7-Mar,Monday,7,1,1,1,0,4,,,
8-Mar,Tuesday,7,1,2,2,6,6,,,
9-Mar,Wednesday,6,2,1,1,6,4,,,
10-Mar,Thursday,5,1,3,1,7,6,,,
11-Mar,Friday,6,3,1,1,7,3,,,
12-Mar,Saturday,8,1,1,1,0,2,,,
13-Mar,Sunday,8,2,3,1,6,5,,,
14-Mar,Monday,7,1,2,0,0,8,,,
15-Mar,Tuesday,7,1,2,0,7,8,,,
16-Mar,Wednesday,6,4,1,1,0,7,,,
17-Mar,Thursday,6,1,1,1,7,6,,,
18-Mar,Friday,5,4,1,0,0,3,,,
